Name,Age,Major,GPA,Year,Club,Position
Jane Davis,23,Environmental Science,2.59,Freshman,Robotics Team,Part-time at MarketPlace
Thomas Brown,24,Electrical Engineering,2.53,Sophomore,Debate Team,Intern at TechCorp
Patricia Anderson,19,Biology,3.09,Sophomore,Robotics Team,Member of ChemClub
Michael White,25,Mathematics,3.96,Freshman,Coding Club,Member of BioSociety
Barbara Moore,21,Computer Science,2.76,Junior,ChemClub,Intern at TechCorp
Christopher Martin,23,Mathematics,3.16,Junior,Coding Club,Part-time at MarketPlace
Jessica White,23,Physics,3.88,Freshman,Coding Club,Part-time at AutoWorks
James Taylor,19,Chemistry,2.75,Freshman,BioSociety,Business Club President
Linda Harris,22,Computer Science,3.7,Freshman,Debate Team,Research Assistant
Christopher Johnson,25,Chemistry,3.17,Sophomore,Robotics Team,Part-time at AutoWorks
Jessica Martin,23,Mathematics,3.89,Sophomore,BioSociety,Business Club President
Barbara Anderson,24,Civil Engineering,3.23,Freshman,ASCE Member,Part-time at MarketPlace
Sarah Jackson,24,Economics,3.87,Senior,BioSociety,Business Club President
Michael Moore,18,Environmental Science,2.05,Freshman,Coding Club,Intern at StartUp
Jane Smith,19,Economics,2.51,Freshman,Green Club,Tutor at MathCenter
Christopher Jackson,20,Environmental Science,2.82,Sophomore,IEEE Member,Research Assistant
James Clark,19,Electrical Engineering,3.19,Senior,Coding Club,Intern at StartUp
Jessica Doe,20,Computer Science,2.37,Junior,Green Club,Business Club President
John Doe,19,Biology,3.36,Junior,ChemClub,Business Club President
Thomas Jackson,20,Environmental Science,2.63,Sophomore,Debate Team,Business Club President
Christopher Johnson,21,Civil Engineering,2.99,Freshman,Coding Club,Part-time at ElectricWorks
Patricia Thomas,22,Business Administration,2.57,Freshman,Coding Club,Part-time at ElectricWorks
Mary Johnson,19,Chemistry,3.0,Freshman,Business Club,Intern at TechCorp
David White,21,Environmental Science,2.76,Sophomore,Business Club,Research Assistant
Jane Harris,22,Economics,3.0,Senior,ASCE Member,Member of ChemClub
Christopher Anderson,22,Biology,2.93,Senior,Business Club,Research Assistant
Linda Taylor,19,Physics,3.13,Senior,Math Club,Tutor at MathCenter
David Thomas,21,Environmental Science,2.74,Sophomore,Coding Club,Intern at ResearchLab
Christopher Doe,25,Economics,2.83,Sophomore,Green Club,Part-time at BuildCorp
Thomas Thomas,20,Biology,3.62,Freshman,Soccer Club,Intern at TechCorp
Patricia Brown,25,Civil Engineering,2.44,Junior,ASCE Member,Research Assistant
Mary Harris,20,Economics,3.63,Junior,Research Assistant,Member of ChemClub
Mary Doe,24,Chemistry,2.4,Sophomore,ASCE Member,Intern at TechCorp
Emily Moore,21,Business Administration,2.01,Freshman,ChemClub,Business Club President
Thomas White,25,Biology,2.47,Sophomore,IEEE Member,Tutor at MathCenter
Robert Martin,21,Computer Science,2.38,Sophomore,IEEE Member,Intern at TechCorp
Michael Moore,20,Economics,2.97,Senior,Robotics Team,Part-time at MarketPlace
David Wilson,23,Electrical Engineering,2.72,Senior,Soccer Club,Part-time at BuildCorp
Thomas Johnson,23,Computer Science,2.09,Sophomore,Debate Team,Part-time at ElectricWorks
Patricia White,20,Civil Engineering,2.72,Senior,Math Club,Part-time at ElectricWorks
David Jackson,24,Environmental Science,2.16,Sophomore,Business Club,Intern at StartUp
Jessica Brown,24,Chemistry,3.5,Freshman,Business Club,Tutor at MathCenter
Barbara Smith,19,Mathematics,2.41,Junior,Soccer Club,Member of ChemClub
Barbara Thomas,20,Economics,3.96,Junior,Math Club,Research Assistant
Thomas Doe,22,Business Administration,3.1,Sophomore,ASCE Member,Intern at StartUp
Sarah Johnson,18,Civil Engineering,3.97,Sophomore,BioSociety,Part-time at MarketPlace
Sarah Harris,21,Economics,2.68,Junior,ASCE Member,Intern at StartUp
Christopher Thomas,24,Business Administration,2.18,Sophomore,ASCE Member,Intern at ResearchLab
Linda Thomas,21,Physics,3.61,Freshman,Coding Club,Part-time at AutoWorks
Jessica Johnson,23,Business Administration,3.21,Sophomore,Robotics Team,Intern at TechCorp
Patricia Thomas,25,Biology,2.21,Senior,Robotics Team,Intern at TechCorp
Robert Taylor,18,Environmental Science,3.08,Sophomore,Robotics Team,Part-time at MarketPlace
John Johnson,21,Mathematics,2.42,Junior,Debate Team,Part-time at MarketPlace
Christopher White,22,Physics,3.67,Sophomore,Coding Club,Intern at StartUp
Jane Harris,24,Chemistry,2.4,Junior,BioSociety,Part-time at ElectricWorks
James Harris,20,Civil Engineering,3.84,Sophomore,BioSociety,Part-time at AutoWorks
John Brown,23,Physics,2.39,Junior,Coding Club,Tutor at MathCenter
Patricia White,22,Business Administration,2.17,Sophomore,Math Club,Part-time at BuildCorp
Linda Wilson,19,Civil Engineering,2.25,Senior,Debate Team,Research Assistant
David Smith,23,Economics,2.55,Junior,Soccer Club,Research Assistant
Robert Wilson,23,Economics,3.08,Senior,Soccer Club,Part-time at ElectricWorks
Christopher White,23,Business Administration,3.26,Junior,ChemClub,Part-time at BuildCorp
Sarah Taylor,23,Civil Engineering,2.99,Junior,Robotics Team,Research Assistant
Jessica Davis,20,Economics,3.76,Freshman,Research Assistant,Part-time at AutoWorks
Christopher Harris,22,Civil Engineering,2.89,Sophomore,Green Club,Intern at TechCorp
John Davis,24,Environmental Science,3.22,Junior,BioSociety,Part-time at MarketPlace
Barbara Clark,18,Mathematics,2.65,Junior,IEEE Member,Part-time at AutoWorks
James Davis,25,Business Administration,2.78,Sophomore,Debate Team,Business Club President
Patricia Harris,25,Chemistry,2.8,Junior,Business Club,Part-time at BuildCorp
Michael Smith,20,Business Administration,2.13,Sophomore,Research Assistant,Part-time at MarketPlace
Barbara Thomas,25,Biology,3.25,Junior,Soccer Club,Intern at ResearchLab
Jane White,18,Business Administration,2.89,Sophomore,ChemClub,Member of BioSociety
Mary Smith,20,Economics,2.7,Senior,Business Club,Part-time at ElectricWorks
Jane White,24,Chemistry,3.39,Sophomore,IEEE Member,Intern at TechCorp
Jessica Jackson,21,Electrical Engineering,2.87,Senior,Green Club,Member of BioSociety
Emily Jackson,21,Mathematics,3.59,Senior,ChemClub,Tutor at MathCenter
Barbara Johnson,18,Economics,2.22,Freshman,BioSociety,Member of BioSociety
Linda Doe,25,Electrical Engineering,3.42,Senior,Debate Team,Part-time at ElectricWorks
John Taylor,25,Electrical Engineering,3.46,Sophomore,Coding Club,Member of ChemClub
Thomas Johnson,20,Mechanical Engineering,3.1,Junior,Research Assistant,Intern at ResearchLab
Robert White,23,Biology,3.57,Senior,ChemClub,Intern at StartUp
Jane Moore,23,Electrical Engineering,2.24,Freshman,ASCE Member,Part-time at AutoWorks
Thomas Jackson,20,Chemistry,3.79,Senior,Green Club,Part-time at ElectricWorks
Mary Smith,21,Mathematics,2.35,Senior,ASCE Member,Part-time at ElectricWorks
David Smith,24,Mathematics,2.33,Senior,Soccer Club,Part-time at BuildCorp
Jessica Wilson,22,Business Administration,2.69,Junior,ASCE Member,Intern at ResearchLab
Christopher Smith,22,Biology,3.73,Junior,Green Club,Research Assistant
James White,22,Mechanical Engineering,2.25,Senior,Research Assistant,Part-time at BuildCorp
Thomas Martin,23,Chemistry,3.88,Senior,IEEE Member,Research Assistant
Robert Davis,21,Chemistry,2.24,Senior,Robotics Team,Part-time at MarketPlace
Christopher Anderson,20,Civil Engineering,3.3,Freshman,BioSociety,Member of BioSociety
Mary Moore,20,Physics,2.69,Sophomore,Math Club,Intern at StartUp
Emily Anderson,19,Biology,3.96,Sophomore,ChemClub,Part-time at MarketPlace
Thomas Davis,24,Chemistry,2.98,Freshman,Debate Team,Member of ChemClub
Linda White,18,Civil Engineering,2.4,Junior,ChemClub,Intern at TechCorp
Christopher Thomas,24,Mechanical Engineering,3.69,Senior,Math Club,Intern at TechCorp
Thomas Brown,18,Mathematics,3.04,Senior,IEEE Member,Member of BioSociety
Emily Davis,25,Physics,2.77,Junior,Green Club,Part-time at ElectricWorks
Jessica Martin,21,Environmental Science,2.54,Freshman,Math Club,Part-time at BuildCorp
Robert Martin,18,Business Administration,2.94,Sophomore,IEEE Member,Tutor at MathCenter
James White,22,Economics,3.64,Freshman,Debate Team,Research Assistant
Michael Davis,22,Biology,2.49,Senior,Green Club,Part-time at BuildCorp
James Wilson,24,Environmental Science,3.86,Sophomore,IEEE Member,Intern at StartUp
Jane Martin,21,Business Administration,3.63,Freshman,ChemClub,Intern at StartUp
Sarah Martin,20,Environmental Science,3.18,Sophomore,Green Club,Part-time at BuildCorp
David Davis,22,Environmental Science,2.27,Freshman,Soccer Club,Tutor at MathCenter
Emily Thomas,24,Business Administration,2.87,Freshman,Coding Club,Member of BioSociety
Barbara Brown,21,Mechanical Engineering,2.69,Sophomore,ChemClub,Part-time at MarketPlace
Robert Martin,22,Economics,3.22,Junior,Soccer Club,Intern at ResearchLab
Patricia Davis,19,Business Administration,2.63,Senior,ASCE Member,Member of ChemClub
David Harris,22,Electrical Engineering,3.2,Freshman,ChemClub,Part-time at BuildCorp
Christopher Davis,22,Business Administration,2.13,Sophomore,ASCE Member,Part-time at BuildCorp
Thomas Davis,22,Civil Engineering,3.77,Freshman,Math Club,Intern at StartUp
Robert Doe,25,Mechanical Engineering,3.51,Freshman,Business Club,Member of BioSociety
Sarah Martin,24,Business Administration,2.15,Sophomore,Soccer Club,Business Club President
Sarah Anderson,24,Economics,2.96,Sophomore,Coding Club,Part-time at AutoWorks
Christopher Moore,21,Business Administration,3.25,Sophomore,IEEE Member,Part-time at AutoWorks
Emily Anderson,24,Chemistry,2.04,Junior,Robotics Team,Part-time at ElectricWorks
David Johnson,23,Business Administration,3.12,Sophomore,Coding Club,Part-time at BuildCorp
Jessica Anderson,25,Chemistry,3.95,Junior,Research Assistant,Intern at StartUp
Linda Thomas,23,Biology,2.29,Senior,Soccer Club,Intern at TechCorp
Barbara Harris,19,Civil Engineering,3.66,Sophomore,Robotics Team,Member of ChemClub
Michael Jackson,19,Mechanical Engineering,3.12,Sophomore,ChemClub,Tutor at MathCenter
Patricia Doe,20,Computer Science,3.54,Sophomore,Green Club,Part-time at BuildCorp
Jessica Johnson,18,Computer Science,3.19,Sophomore,Coding Club,Part-time at AutoWorks
Sarah Moore,20,Chemistry,2.7,Senior,Soccer Club,Part-time at ElectricWorks
Jessica Clark,24,Electrical Engineering,3.22,Junior,Math Club,Tutor at MathCenter
Linda Smith,22,Electrical Engineering,2.15,Freshman,ASCE Member,Intern at ResearchLab
James Smith,23,Computer Science,2.84,Freshman,Soccer Club,Part-time at ElectricWorks
David Johnson,22,Physics,3.29,Sophomore,Soccer Club,Part-time at MarketPlace
Jessica Harris,23,Physics,3.75,Junior,ChemClub,Intern at StartUp
John Clark,24,Economics,2.28,Freshman,ChemClub,Business Club President
Barbara Davis,24,Economics,2.17,Freshman,Debate Team,Intern at ResearchLab
Thomas Jackson,23,Civil Engineering,3.67,Senior,Soccer Club,Tutor at MathCenter
Emily White,25,Physics,3.58,Freshman,Research Assistant,Part-time at MarketPlace
Thomas Doe,25,Mechanical Engineering,3.37,Junior,BioSociety,Research Assistant
David Davis,18,Business Administration,2.3,Junior,Soccer Club,Part-time at ElectricWorks
Christopher Johnson,20,Business Administration,2.53,Freshman,ChemClub,Research Assistant
Robert Anderson,20,Physics,2.17,Senior,Math Club,Intern at StartUp
Jessica Wilson,25,Mathematics,2.76,Sophomore,Debate Team,Part-time at BuildCorp
Sarah Taylor,22,Physics,2.95,Freshman,Soccer Club,Member of ChemClub
Robert Doe,21,Electrical Engineering,2.2,Senior,ChemClub,Part-time at ElectricWorks
Robert Harris,21,Biology,3.19,Freshman,IEEE Member,Intern at StartUp
Jane Jackson,19,Business Administration,3.01,Junior,Business Club,Business Club President
Mary Clark,22,Business Administration,3.13,Sophomore,Business Club,Intern at ResearchLab
Linda Martin,23,Economics,2.77,Freshman,Debate Team,Member of BioSociety
Patricia Taylor,24,Biology,2.68,Junior,Soccer Club,Member of BioSociety
David Martin,25,Mechanical Engineering,2.76,Sophomore,Green Club,Intern at StartUp
Jane Johnson,25,Mathematics,2.67,Senior,Soccer Club,Business Club President
Barbara Taylor,21,Electrical Engineering,2.14,Sophomore,Research Assistant,Member of ChemClub
Michael Anderson,22,Mechanical Engineering,2.52,Sophomore,ASCE Member,Intern at ResearchLab
Robert White,20,Electrical Engineering,3.47,Junior,IEEE Member,Part-time at MarketPlace
Jessica White,19,Chemistry,2.16,Junior,ChemClub,Intern at ResearchLab
John Thomas,19,Civil Engineering,3.34,Senior,Math Club,Part-time at BuildCorp
Thomas Harris,20,Computer Science,3.47,Sophomore,Math Club,Part-time at BuildCorp
Mary Johnson,25,Electrical Engineering,2.45,Sophomore,Research Assistant,Part-time at BuildCorp
David Wilson,24,Physics,2.54,Sophomore,Business Club,Part-time at AutoWorks
Christopher Johnson,20,Business Administration,3.03,Freshman,Debate Team,Part-time at BuildCorp
Michael Clark,22,Economics,2.21,Freshman,Robotics Team,Member of BioSociety
Barbara Taylor,20,Civil Engineering,3.81,Freshman,Coding Club,Intern at TechCorp
Robert Doe,19,Business Administration,4.0,Sophomore,ChemClub,Tutor at MathCenter
Thomas Anderson,25,Chemistry,2.45,Freshman,IEEE Member,Part-time at BuildCorp
Thomas Moore,19,Economics,2.24,Sophomore,Debate Team,Tutor at MathCenter
Jane White,19,Chemistry,2.59,Junior,BioSociety,Member of ChemClub
Emily Smith,18,Mathematics,3.87,Freshman,BioSociety,Part-time at BuildCorp
John Johnson,19,Business Administration,3.62,Freshman,BioSociety,Part-time at ElectricWorks
David White,20,Biology,2.66,Senior,Business Club,Tutor at MathCenter
John Doe,20,Mathematics,2.67,Junior,Research Assistant,Intern at TechCorp
Thomas Jackson,21,Chemistry,2.29,Junior,IEEE Member,Intern at StartUp
Barbara Wilson,25,Physics,2.95,Senior,Business Club,Intern at StartUp
Patricia Brown,20,Mechanical Engineering,3.98,Junior,Robotics Team,Intern at TechCorp
Christopher Davis,22,Computer Science,2.39,Sophomore,ASCE Member,Part-time at ElectricWorks
Jane Davis,20,Computer Science,2.02,Junior,Soccer Club,Tutor at MathCenter
Michael Jackson,18,Biology,2.02,Junior,Business Club,Part-time at AutoWorks
Michael Taylor,19,Biology,3.93,Freshman,Robotics Team,Part-time at AutoWorks
Linda Taylor,25,Electrical Engineering,3.68,Junior,IEEE Member,Part-time at BuildCorp
Robert Taylor,22,Chemistry,2.12,Sophomore,ChemClub,Part-time at MarketPlace
Robert Brown,21,Chemistry,2.11,Freshman,Debate Team,Tutor at MathCenter
Sarah Clark,18,Economics,3.99,Junior,IEEE Member,Intern at ResearchLab
John Wilson,18,Mechanical Engineering,3.5,Senior,Research Assistant,Intern at TechCorp
James Moore,20,Biology,3.35,Senior,Robotics Team,Member of BioSociety
John Martin,20,Economics,2.7,Freshman,BioSociety,Research Assistant
Christopher Anderson,19,Physics,3.68,Freshman,Math Club,Member of BioSociety
Emily Clark,19,Chemistry,2.64,Sophomore,Soccer Club,Research Assistant
Jessica Moore,20,Mathematics,3.31,Senior,BioSociety,Tutor at MathCenter
Robert Doe,20,Environmental Science,3.89,Sophomore,Business Club,Intern at StartUp
John Davis,19,Mechanical Engineering,3.17,Junior,Coding Club,Part-time at AutoWorks
Jessica Thomas,19,Electrical Engineering,2.99,Sophomore,Robotics Team,Intern at StartUp
John Moore,18,Physics,2.26,Senior,Soccer Club,Part-time at MarketPlace
Barbara Wilson,24,Chemistry,2.51,Freshman,Robotics Team,Part-time at AutoWorks
James Smith,20,Physics,2.27,Sophomore,ChemClub,Member of ChemClub
Christopher Johnson,23,Mechanical Engineering,2.29,Senior,Math Club,Member of BioSociety
Emily Taylor,21,Computer Science,3.54,Sophomore,BioSociety,Part-time at AutoWorks
Sarah Wilson,24,Civil Engineering,3.53,Junior,Soccer Club,Tutor at MathCenter
Robert Anderson,21,Mathematics,2.51,Freshman,IEEE Member,Business Club President
Patricia Moore,23,Biology,2.99,Sophomore,Green Club,Intern at TechCorp
Patricia Doe,21,Electrical Engineering,3.42,Freshman,ChemClub,Part-time at BuildCorp
James Brown,20,Biology,3.9,Senior,IEEE Member,Research Assistant
Linda Doe,18,Mechanical Engineering,3.12,Junior,Research Assistant,Research Assistant
Emily Jackson,24,Mathematics,3.85,Sophomore,Robotics Team,Part-time at MarketPlace
Barbara Martin,20,Mathematics,3.54,Freshman,Debate Team,Business Club President
Thomas Doe,25,Mechanical Engineering,3.3,Senior,Math Club,Member of ChemClub
Sarah Anderson,22,Economics,2.52,Freshman,Coding Club,Intern at ResearchLab
David Jackson,18,Electrical Engineering,2.31,Sophomore,Robotics Team,Research Assistant
Christopher Doe,22,Mathematics,3.0,Junior,ASCE Member,Member of ChemClub
Robert White,23,Physics,2.37,Senior,Coding Club,Intern at StartUp
David Clark,20,Physics,3.36,Freshman,Debate Team,Intern at StartUp
John Doe,20,Electrical Engineering,2.24,Freshman,ChemClub,Intern at ResearchLab
Michael Clark,20,Civil Engineering,3.2,Junior,Soccer Club,Research Assistant
Mary Davis,25,Electrical Engineering,2.11,Freshman,IEEE Member,Part-time at BuildCorp
Thomas Thomas,23,Mechanical Engineering,3.51,Sophomore,Business Club,Intern at TechCorp
Michael Clark,24,Biology,2.45,Sophomore,ChemClub,Intern at ResearchLab
Christopher Harris,24,Biology,3.14,Freshman,Business Club,Part-time at ElectricWorks
John Jackson,25,Physics,2.02,Senior,ChemClub,Part-time at MarketPlace
Robert Johnson,23,Mechanical Engineering,3.35,Sophomore,Business Club,Research Assistant
Michael Smith,23,Mathematics,3.4,Sophomore,Green Club,Intern at StartUp
Jessica Thomas,24,Chemistry,2.14,Junior,Coding Club,Member of BioSociety
Michael White,23,Chemistry,2.37,Junior,ChemClub,Business Club President
Emily White,19,Business Administration,2.98,Sophomore,BioSociety,Intern at ResearchLab
David Moore,21,Computer Science,2.9,Junior,Soccer Club,Tutor at MathCenter
Mary Johnson,20,Civil Engineering,2.16,Senior,Math Club,Research Assistant
John Taylor,20,Business Administration,2.85,Junior,Robotics Team,Part-time at MarketPlace
Linda Moore,22,Civil Engineering,3.78,Sophomore,ASCE Member,Tutor at MathCenter
Linda Smith,18,Computer Science,2.15,Senior,Business Club,Intern at TechCorp
Christopher Smith,20,Biology,3.51,Senior,Business Club,Part-time at BuildCorp
Linda Taylor,22,Environmental Science,2.66,Senior,Soccer Club,Intern at StartUp
Mary Johnson,21,Physics,3.18,Sophomore,Business Club,Tutor at MathCenter
David Anderson,20,Economics,2.9,Sophomore,Green Club,Part-time at BuildCorp
David Taylor,18,Electrical Engineering,3.7,Freshman,Green Club,Part-time at BuildCorp
Jane Anderson,20,Chemistry,3.93,Sophomore,BioSociety,Intern at StartUp
Thomas Clark,21,Chemistry,3.83,Junior,Robotics Team,Intern at ResearchLab
Michael Taylor,20,Civil Engineering,3.83,Senior,Coding Club,Tutor at MathCenter
Emily Davis,22,Mathematics,2.58,Freshman,Math Club,Intern at ResearchLab
Jane Taylor,20,Business Administration,2.11,Freshman,Coding Club,Business Club President
Mary Thomas,19,Computer Science,2.52,Junior,Business Club,Business Club President
Patricia Brown,21,Mathematics,3.78,Senior,Soccer Club,Intern at TechCorp
Thomas Smith,22,Mechanical Engineering,3.75,Senior,BioSociety,Research Assistant
Patricia Martin,25,Business Administration,3.46,Senior,BioSociety,Tutor at MathCenter
Jane Doe,24,Civil Engineering,3.82,Sophomore,BioSociety,Tutor at MathCenter
James Martin,24,Electrical Engineering,3.07,Senior,Research Assistant,Part-time at BuildCorp
Mary Harris,19,Biology,2.66,Junior,IEEE Member,Intern at StartUp
Mary Brown,25,Physics,2.14,Sophomore,Math Club,Intern at StartUp
Sarah Moore,19,Economics,3.72,Senior,Soccer Club,Part-time at ElectricWorks
Jane Harris,23,Environmental Science,3.57,Freshman,Soccer Club,Intern at TechCorp
David Wilson,22,Mechanical Engineering,3.53,Sophomore,Math Club,Part-time at BuildCorp
Thomas Doe,23,Business Administration,2.97,Junior,Soccer Club,Intern at ResearchLab
Jane Harris,20,Environmental Science,2.47,Sophomore,ChemClub,Part-time at MarketPlace
Michael Martin,25,Environmental Science,2.42,Junior,Math Club,Tutor at MathCenter
Patricia Jackson,23,Physics,2.65,Junior,Math Club,Part-time at MarketPlace
Mary Doe,22,Environmental Science,2.99,Junior,Debate Team,Tutor at MathCenter
James Martin,25,Civil Engineering,3.96,Sophomore,Green Club,Research Assistant
Barbara Moore,23,Environmental Science,3.94,Senior,IEEE Member,Part-time at ElectricWorks
Sarah Smith,25,Electrical Engineering,2.54,Sophomore,IEEE Member,Member of ChemClub
Sarah Taylor,19,Business Administration,3.91,Junior,Business Club,Part-time at MarketPlace
Sarah Anderson,23,Computer Science,2.8,Sophomore,Debate Team,Part-time at AutoWorks
David Brown,22,Civil Engineering,3.81,Sophomore,Business Club,Member of BioSociety
Michael White,19,Economics,3.01,Sophomore,Business Club,Intern at ResearchLab
Jessica Clark,19,Business Administration,3.05,Senior,Business Club,Part-time at MarketPlace
John Doe,24,Mathematics,3.49,Sophomore,Research Assistant,Research Assistant
Linda Martin,25,Mechanical Engineering,3.66,Junior,Research Assistant,Business Club President
Thomas Moore,22,Biology,3.22,Freshman,ChemClub,Member of ChemClub
Sarah Doe,21,Mathematics,2.56,Senior,IEEE Member,Member of BioSociety
Patricia Wilson,21,Electrical Engineering,2.21,Junior,Math Club,Part-time at MarketPlace
Sarah White,25,Civil Engineering,3.97,Sophomore,Business Club,Intern at ResearchLab
Sarah Brown,25,Computer Science,3.61,Senior,Robotics Team,Part-time at AutoWorks
Linda Clark,23,Mathematics,3.08,Sophomore,ChemClub,Tutor at MathCenter
Sarah Wilson,22,Computer Science,2.07,Junior,Green Club,Part-time at AutoWorks
David Thomas,19,Chemistry,2.64,Senior,Business Club,Part-time at MarketPlace
Michael Martin,23,Chemistry,3.35,Junior,IEEE Member,Intern at ResearchLab
Sarah Jackson,18,Mechanical Engineering,3.22,Freshman,Green Club,Intern at TechCorp
Patricia Clark,24,Economics,2.79,Junior,ChemClub,Part-time at ElectricWorks
Jane Moore,24,Computer Science,2.91,Junior,Robotics Team,Business Club President
Sarah Jackson,18,Economics,3.06,Junior,Green Club,Intern at TechCorp
John Smith,18,Business Administration,2.32,Junior,Coding Club,Intern at TechCorp
Jane Johnson,24,Biology,3.22,Freshman,IEEE Member,Member of BioSociety
Barbara Brown,19,Biology,2.98,Freshman,Math Club,Part-time at MarketPlace
Jane Taylor,20,Environmental Science,2.18,Junior,Business Club,Intern at TechCorp
Michael Smith,18,Civil Engineering,3.11,Freshman,ChemClub,Business Club President
Emily Anderson,25,Civil Engineering,3.05,Senior,ASCE Member,Part-time at BuildCorp
Linda Doe,21,Computer Science,3.98,Senior,Soccer Club,Part-time at AutoWorks
James Wilson,18,Biology,2.71,Junior,Soccer Club,Intern at TechCorp
Robert Doe,20,Computer Science,3.22,Freshman,Green Club,Business Club President
Mary Harris,19,Chemistry,3.82,Senior,IEEE Member,Business Club President
Mary Wilson,22,Mathematics,2.89,Senior,Research Assistant,Part-time at ElectricWorks
Patricia Moore,18,Economics,2.2,Junior,IEEE Member,Part-time at ElectricWorks
Jessica Davis,20,Biology,3.5,Freshman,ASCE Member,Intern at StartUp
James Harris,23,Physics,3.81,Freshman,Debate Team,Intern at StartUp
Linda Taylor,19,Business Administration,2.37,Sophomore,Coding Club,Part-time at ElectricWorks
Patricia Johnson,22,Business Administration,3.53,Junior,Coding Club,Part-time at ElectricWorks
Jane Brown,20,Environmental Science,4.0,Senior,BioSociety,Tutor at MathCenter
Jessica White,21,Biology,2.0,Sophomore,Robotics Team,Member of ChemClub
David Wilson,22,Biology,3.53,Junior,Robotics Team,Tutor at MathCenter
Michael White,20,Biology,2.27,Senior,ASCE Member,Intern at TechCorp
Michael Johnson,19,Economics,3.99,Junior,ASCE Member,Intern at TechCorp
Emily Doe,23,Economics,3.33,Freshman,Research Assistant,Member of ChemClub
Robert Clark,24,Mathematics,2.62,Junior,ASCE Member,Member of ChemClub
Thomas Clark,23,Biology,3.89,Senior,Debate Team,Business Club President
Thomas Taylor,22,Biology,3.24,Junior,ChemClub,Intern at StartUp
James Wilson,23,Mechanical Engineering,2.28,Senior,ChemClub,Intern at StartUp
John Clark,22,Environmental Science,3.87,Freshman,Robotics Team,Intern at TechCorp
Michael Johnson,21,Biology,3.72,Freshman,Coding Club,Intern at TechCorp
Linda White,19,Biology,3.58,Freshman,Green Club,Tutor at MathCenter
Sarah Davis,20,Electrical Engineering,3.98,Freshman,Research Assistant,Member of ChemClub
Sarah Martin,23,Mechanical Engineering,2.01,Sophomore,Math Club,Intern at StartUp
Jane Johnson,20,Mechanical Engineering,3.23,Freshman,Debate Team,Business Club President
Jessica White,20,Biology,2.9,Freshman,ASCE Member,Research Assistant
Patricia Thomas,24,Mechanical Engineering,2.83,Sophomore,BioSociety,Tutor at MathCenter
